                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7755,                 6.1589,                 1.6511,                0.34981,                  0.425,                 0.4177,                0.17998,                 1.7515,                 12.111,                 1.3892,                0.00026,                0.00026,                0.00026
                      2,                 1.3549,                 1.7004,                 1.1787,                0.99794,                   0.95,                0.97946,                0.57651,                 1.3519,                 2.4669,                 1.1103,             0.00052931,             0.00052931,             0.00052931
                      3,                 1.3257,                 1.4127,                 1.2944,                 0.4802,                0.66983,                0.50345,                0.29331,                 1.4208,                 2.8741,                  1.243,             0.00078753,             0.00078753,             0.00078753
                      4,                 1.3692,                 1.1665,                 1.3252,                0.67707,                   0.75,                0.76109,                0.39366,                 1.5772,                  1.331,                 1.3217,              0.0010347,              0.0010347,              0.0010347
                      5,                 1.4046,                 1.1478,                 1.3008,                0.01415,                    0.9,                0.01414,                0.00785,                 1.4843,                 257.99,                 1.3401,              0.0012707,              0.0012707,              0.0012707
                      6,                 1.3066,                 1.0707,                 1.2627,                 0.1135,                  0.225,                0.05679,                0.01649,                 3.0046,                 7.0933,                 2.5943,              0.0014957,              0.0014957,              0.0014957
                      7,                 1.3451,                 1.0576,                 1.3154,                 0.1651,                  0.475,                0.11464,                0.05961,                 1.8184,                 4.0722,                 1.4518,              0.0017095,              0.0017095,              0.0017095
                      8,                 1.3574,                 1.0404,                 1.2938,                0.20121,                    0.5,                0.16918,                0.08983,                 1.7641,                 7.9661,                 1.6301,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3458,                 1.0037,                 1.2543,                 0.1099,                  0.325,                0.07495,                0.03888,                 1.7085,                  6.071,                 1.5909,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4062,                 1.0145,                 1.3278,                0.21284,                   0.25,                0.12956,                0.07088,                 1.9612,                 8.2805,                 1.6129,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3801,                 1.0851,                 1.3496,                0.83573,                  0.775,                0.78457,                0.28074,                 2.3073,                 4.1683,                 1.6747,               0.001604,               0.001604,               0.001604
                     12,                 1.2495,                0.94852,                 1.2589,                0.57944,                0.82671,                0.62789,                0.34793,                 1.5762,                 2.0282,                 1.3863,              0.0015644,              0.0015644,              0.0015644
                     13,                  1.331,                0.98539,                 1.2814,                0.62259,                  0.875,                0.68185,                 0.3827,                 1.6174,                 3.7147,                 1.4318,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2909,                0.92913,                 1.2343,                0.87281,                0.85795,                0.89995,                0.52359,                 1.5029,                  1.661,                  1.345,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2884,                 0.8634,                 1.2105,                0.90994,                    0.9,                0.93734,                  0.553,                 1.4095,                  1.897,                 1.2905,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2211,                 0.8426,                 1.2142,                0.86019,                   0.85,                0.88534,                0.49409,                 1.4135,                 1.4922,                 1.2479,               0.001406,               0.001406,               0.001406
                     17,                 1.1708,                0.80002,                 1.2114,                      1,                0.94267,                0.97537,                0.53916,                 1.4451,                0.79489,                  1.241,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1829,                0.81961,                 1.2052,                0.91684,                  0.925,                0.96016,                0.53141,                 1.4013,                 0.8644,                 1.2021,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2213,                0.81649,                 1.2135,                0.92627,                  0.725,                0.83037,                 0.4683,                 1.7399,                 1.5485,                 1.4879,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2068,                0.83621,                 1.2221,                0.98005,                  0.625,                0.71959,                0.43621,                  1.741,                  1.951,                 1.3611,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2062,                0.81161,                 1.2054,                0.92579,                  0.525,                0.61216,                0.35267,                 1.6919,                 1.9387,                 1.4415,               0.001208,               0.001208,               0.001208
                     22,                 1.1821,                0.74938,                 1.1853,                 0.9455,                0.86756,                0.91621,                0.52315,                 1.5774,                0.77747,                 1.2646,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.133,                0.72117,                 1.1498,                0.95838,                  0.925,                0.97289,                0.55211,                 1.4861,                0.71242,                 1.2519,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0855,                0.71304,                 1.1292,                 0.9703,                      1,                0.99451,                0.60691,                  1.413,                0.67583,                 1.2299,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1353,                0.75692,                 1.1901,                0.98886,                   0.95,                0.99172,                0.60065,                 1.3474,                0.68986,                 1.2082,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1192,                0.74209,                 1.1279,                0.97436,                0.94997,                0.97195,                0.58066,                 1.3941,                 1.1748,                  1.231,                0.00101,                0.00101,                0.00101
                     27,                 1.1531,                0.81288,                 1.1687,                      1,                0.94293,                0.99063,                0.58516,                 1.4063,                0.68547,                 1.2888,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0551,                0.76149,                 1.1268,                0.96635,                  0.975,                0.98413,                0.62252,                 1.3862,                0.69253,                 1.2226,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2026,                0.72797,                 1.2364,                0.97456,                0.95802,                0.98438,                0.52469,                 1.5525,                0.68828,                 1.2398,              0.0008912,              0.0008912,              0.0008912
                     30,                   1.11,                0.72878,                 1.1322,                0.96715,                  0.925,                0.98657,                0.58203,                 1.3419,                0.61691,                 1.1544,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0642,                0.74359,                 1.1412,                0.94218,                      1,                 0.9933,                0.57426,                 1.4422,                0.61761,                 1.1924,               0.000812,               0.000812,               0.000812
                     32,                 1.0886,                0.66952,                 1.1312,                0.97781,                   0.95,                0.98584,                0.55846,                 1.4226,                0.63287,                 1.1985,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0238,                0.68227,                   1.11,                      1,                0.97339,                0.98452,                0.54614,                  1.515,                0.63525,                  1.229,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0485,                0.63296,                 1.1223,                      1,                0.96941,                0.99069,                0.58516,                 1.4408,                0.60773,                 1.1988,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0175,                0.66078,                 1.1111,                0.99431,                  0.975,                0.98856,                0.59116,                  1.422,                0.60684,                 1.1794,              0.0006536,              0.0006536,              0.0006536
                     36,                0.96439,                0.65026,                 1.0966,                0.99731,                  0.975,                0.99009,                 0.5847,                 1.4219,                0.67809,                 1.2284,               0.000614,               0.000614,               0.000614
                     37,                0.94803,                0.65685,                 1.0924,                 0.9929,                   0.95,                0.98043,                 0.5911,                 1.3718,                 0.6921,                 1.2053,              0.0005744,              0.0005744,              0.0005744
                     38,                0.86918,                0.98153,                 1.0001,                0.92819,                  0.975,                0.96993,                0.59481,                 1.3809,                0.72495,                 1.2471,              0.0005348,              0.0005348,              0.0005348
                     39,                0.95196,                0.62608,                 1.0894,                0.92075,                  0.975,                 0.9681,                0.58513,                 1.4467,                0.73181,                 1.2447,              0.0004952,              0.0004952,              0.0004952
                     40,                0.92705,                0.58342,                 1.0506,                0.94992,                0.94847,                0.98133,                0.60459,                 1.3912,                0.66895,                 1.2126,              0.0004556,              0.0004556,              0.0004556
                     41,                0.88437,                0.56521,                 1.0456,                0.93008,                0.99768,                0.98588,                0.59564,                 1.3871,                0.58335,                 1.2005,               0.000416,               0.000416,               0.000416
                     42,                0.89809,                0.53757,                  1.044,                0.97538,                 0.9904,                0.99329,                0.62258,                 1.3602,                0.55981,                 1.1755,              0.0003764,              0.0003764,              0.0003764
                     43,                0.81702,                0.50208,                 1.0212,                0.96936,                  0.975,                0.99042,                0.61469,                 1.3614,                0.58709,                 1.1734,              0.0003368,              0.0003368,              0.0003368
                     44,                0.81942,                0.50272,                 1.0403,                      1,                0.96759,                0.99318,                0.61404,                 1.3624,                 0.5671,                 1.2066,              0.0002972,              0.0002972,              0.0002972
                     45,                0.81835,                0.49659,                 1.0083,                      1,                0.97107,                0.99405,                0.62709,                   1.34,                0.54748,                 1.2295,              0.0002576,              0.0002576,              0.0002576
                     46,                0.88192,                0.52909,                 1.1504,                      1,                0.97094,                 0.9936,                0.63495,                 1.3604,                0.53416,                 1.2174,               0.000218,               0.000218,               0.000218
                     47,                0.78836,                0.48561,                0.99779,                      1,                0.97022,                 0.9936,                0.61695,                 1.3868,                0.53063,                 1.2191,              0.0001784,              0.0001784,              0.0001784
                     48,                0.73688,                0.48427,                 1.0026,                0.97482,                0.96784,                0.99118,                0.61624,                 1.3704,                0.52754,                 1.2294,              0.0001388,              0.0001388,              0.0001388
                     49,                0.72872,                0.48981,                0.98814,                0.94868,                  0.975,                0.99086,                0.61603,                 1.3675,                0.52945,                  1.225,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.7482,                0.47034,                0.97485,                0.94912,                  0.975,                0.99086,                0.61203,                 1.3738,                0.52662,                  1.216,               5.96e-05,               5.96e-05,               5.96e-05
